City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
264,Ulaangom,MN,49.9811,92.0667,-24.68,91,96,2.71,overcast clouds
265,Kurinjippadi,IN,11.5667,79.6,74.79,83,59,5.55,broken clouds
266,Southbridge,US,42.0751,-72.0334,22.26,69,13,1.01,few clouds
267,Vila,PT,42.0304,-8.1588,40.33,80,0,4.45,clear sky
268,Juneau,US,58.3019,-134.4197,38.84,96,100,19.57,light rain
269,Imbituba,BR,-28.24,-48.6703,76.89,90,80,2.17,broken clouds
270,Zhangye,CN,38.9342,100.4517,18.79,60,100,0.49,overcast clouds
271,Joensuu,FI,62.6012,29.7632,22.26,91,100,11.5,overcast clouds
272,Clyde River,CA,70.4692,-68.5914,-19.77,87,100,4.81,overcast clouds
273,Tura,IN,25.5198,90.2201,48.42,92,0,2.33,clear sky
274,Sanming,CN,26.2486,117.6186,48.9,92,99,1.52,overcast clouds
275,Maromitsa,RU,59.8683,48.0123,7.47,97,98,4.76,overcast clouds
276,Alta Floresta,BR,-9.8756,-56.0861,80.42,94,40,1.14,scattered clouds
277,Miraflores,MX,19.2167,-98.8083,68.65,41,68,7.31,broken clouds
278,Cayenne,GF,4.9333,-52.3333,81.09,85,75,5.01,broken clouds
279,Ruteng,ID,-8.6136,120.4721,62.65,92,49,1.41,scattered clouds
280,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,82,89,11.39,overcast clouds
281,Raudeberg,NO,61.9875,5.1352,38.07,92,100,8.99,light rain
282,Katsuura,JP,35.1333,140.3,32.14,56,8,11.81,clear sky
283,Dayong,CN,25.0209,118.2898,53.28,81,98,2.95,overcast clouds
284,Hoquiam,US,46.9809,-123.8893,48.99,80,100,5.75,overcast clouds
285,Bhandara,IN,21.1667,79.65,52.39,30,4,6.31,clear sky
286,Pangody,RU,65.85,74.4859,-18.62,100,100,3.02,overcast clouds
287,Englehart,CA,47.8169,-79.8664,8.62,55,0,4.61,clear sky
288,General Pico,AR,-35.6566,-63.7568,71.17,36,61,13.04,broken clouds
289,Airai,TL,-8.9266,125.4092,60.8,91,93,1.5,overcast clouds
290,Venice,US,27.0998,-82.4543,66.24,85,100,14.97,overcast clouds
291,Yenagoa,NG,4.9247,6.2642,79.34,79,1,5.46,clear sky
292,Bambous Virieux,MU,-20.3428,57.7575,79.21,89,40,11.5,moderate rain
293,Porto Belo,BR,-27.1578,-48.5531,80.26,90,78,7.07,broken clouds
294,Porto Novo,BJ,6.4965,2.6036,82.22,86,0,6.87,clear sky
295,Elko,US,41.0002,-115.5012,45.05,40,29,4.45,scattered clouds
296,Eureka,US,40.8021,-124.1637,62.13,53,0,1.99,clear sky
297,Marawi,PH,7.9986,124.2928,65.64,91,11,1.45,few clouds
298,Mollendo,PE,-17.0231,-72.0147,71.71,75,25,6.33,scattered clouds
299,Vesyegonsk,RU,58.664,37.2604,6.73,98,88,6.26,overcast clouds
300,Viedma,AR,-40.8135,-62.9967,62.47,48,66,13.62,broken clouds
301,Puerto Del Rosario,ES,28.5004,-13.8627,65.88,82,0,10.36,clear sky
302,Gualeguay,AR,-33.1416,-59.3097,70.29,60,93,15.7,overcast clouds
303,Hasaki,JP,35.7333,140.8333,19.8,44,18,12.91,few clouds
304,Strezhevoy,RU,60.7333,77.5889,15.78,96,100,5.48,light snow
305,Xuanhua,CN,40.6103,115.0447,13.46,66,1,5.46,clear sky
306,Aparecida Do Taboado,BR,-20.0867,-51.0936,76.98,81,89,4.12,overcast clouds
307,Mysen,NO,59.5535,11.3258,41.68,93,100,1.99,overcast clouds
308,Cap-Aux-Meules,CA,47.3821,-61.8597,19.45,93,100,28.77,overcast clouds
309,Narsaq,GL,60.9167,-46.05,1.62,71,42,7.45,scattered clouds
310,Morshansk,RU,53.4435,41.8107,-3.95,100,85,4.41,overcast clouds
311,Svetlyy,RU,54.675,20.1347,37.96,78,95,19.77,overcast clouds
312,Deputatskiy,RU,69.3,139.9,-30.03,97,94,2.91,overcast clouds
313,Omsukchan,RU,62.5333,155.8,-22.22,71,4,3.47,clear sky
314,San Juan De La Maguana,DO,18.8059,-71.2299,79.47,47,5,4.52,clear sky
315,Japura,ID,-0.3167,102.35,72.27,99,97,2.77,overcast clouds
316,Labelle,US,26.7617,-81.4384,69.98,77,98,12.86,overcast clouds
317,Gigmoto,PH,13.7796,124.39,76.01,86,76,15.73,broken clouds
318,Puerto Rondon,CO,6.2805,-71.1,93.16,31,43,7.38,scattered clouds
319,Yar-Sale,RU,66.8333,70.8333,-12.82,100,80,2.28,broken clouds
320,Bonthe,SL,7.5264,-12.505,77.52,84,42,7.47,scattered clouds
321,Santa Marta,CO,11.2408,-74.199,89.35,59,20,15.01,few clouds
322,Almansa,ES,38.8692,-1.0971,48.65,91,100,3.0,overcast clouds
323,Karangasem,ID,-8.45,115.6167,79.68,84,32,1.95,scattered clouds
324,Tormac,RO,45.5208,21.4936,35.38,73,69,4.81,broken clouds
325,Dire,ML,12.2833,-10.9667,79.5,11,0,2.82,clear sky
326,Riberalta,BO,-10.9833,-66.1,77.2,94,75,5.75,moderate rain
327,San Patricio,US,28.017,-97.5169,55.81,28,0,4.85,clear sky
328,Vao,NC,-22.6667,167.4833,80.08,86,34,11.99,scattered clouds
329,Pasighat,IN,28.0667,95.3333,50.18,92,57,4.25,broken clouds
330,Jesup,US,31.6074,-81.8854,55.42,47,40,0.0,scattered clouds
331,Sattenapalle,IN,16.4,80.1833,65.08,91,32,3.6,scattered clouds
332,Mayumba,GA,-3.432,10.6554,76.6,88,13,3.2,few clouds
333,Muli,MV,2.9167,73.5667,81.84,66,54,9.19,broken clouds
334,Reconquista,AR,-29.15,-59.65,87.33,26,0,16.35,clear sky
335,Port Hardy,CA,50.6996,-127.4199,46.58,81,75,9.22,broken clouds
336,Santa Luzia,BR,-19.7697,-43.8514,76.1,81,20,2.3,moderate rain
337,Aklavik,CA,68.2191,-135.0107,-35.57,66,40,0.0,scattered clouds
338,Cuamba,MZ,-14.8031,36.5372,67.21,97,66,3.89,broken clouds
339,Hovd,MN,48.0056,91.6419,-13.43,78,21,4.09,few clouds
340,Porkhov,RU,57.765,29.5561,26.49,96,100,4.59,overcast clouds
341,Canon City,US,38.441,-105.2424,53.76,24,0,5.01,clear sky
342,Grindavik,IS,63.8424,-22.4338,25.27,80,75,4.61,broken clouds
